# Experiment File Name : Bd_All_Live_D1.eds,,,,,,,,,,,,,,,,,,,,,
# Created By :sarah.mcgrath@ufl.edu,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2021-01-29 01:31:13 PM,,,,,,,,,,,,,,,,,,,,,
# Instrument Type : QuantStudio 3 System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,BdGF_10^6,ChytrMGB2,1.477,Amp,STANDARD,23.415,23.325,0.127,1000000,-,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,18,FALSE
A2,BdGF_10^6,ChytrMGB2,1.482,Amp,STANDARD,23.235,23.325,0.127,1000000,-,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,17,FALSE
A3,D1_NA_B1.1,ChytrMGB2,1.482,Amp,UNKNOWN,38.721,38.721,-,22.928303,22.928,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,32,FALSE
A4,D1_NA_FD1.3,ChytrMGB2,1.48,Amp,UNKNOWN,36.198,36.198,-,129.77019,129.77,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,29,FALSE
A5,D1_NA_NG2.2,ChytrMGB2,1.488,Amp,UNKNOWN,27.306,27.306,-,58444.06,58444.06,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,21,FALSE
A6,D1_NA_MC1.1,ChytrMGB2,1.488,Amp,UNKNOWN,35.074,35.074,-,281.05237,281.052,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,28,FALSE
A7,D1_NA_DG1.3,ChytrMGB2,1.485,Amp,UNKNOWN,37.533,37.533,-,51.863983,51.864,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,32,FALSE
A8,D1_A_B2.2,ChytrMGB2,1.486,Amp,UNKNOWN,25.748,25.748,-,170534.88,170534.88,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,19,FALSE
A9,D1_A_NG1.1,ChytrMGB2,1.483,Amp,UNKNOWN,35.394,35.394,-,225.52515,225.525,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,28,FALSE
A10,D1_A_CD1.3,ChytrMGB2,1.48,Amp,UNKNOWN,35.185,35.185,-,260.40567,260.406,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,29,FALSE
A11,D1_A_MC2.2,ChytrMGB2,1.487,Amp,UNKNOWN,26.313,26.313,-,115663.086,115663.086,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,19,FALSE
B1,BdGF_10^5,ChytrMGB2,1.49,Amp,STANDARD,25.716,25.669,0.066,100000,-,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,20,FALSE
B2,BdGF_10^5,ChytrMGB2,1.49,Amp,STANDARD,25.622,25.669,0.066,100000,-,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,20,FALSE
B3,D1_NA_B1.2,ChytrMGB2,1.493,Amp,UNKNOWN,35.732,35.732,-,178.76424,178.764,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,30,FALSE
B4,D1_NA_FD2.1,ChytrMGB2,1.494,Amp,UNKNOWN,29.558,29.558,-,12441.152,12441.152,-,43.2792,0.9692,-3.3509,98.80499,TRUE,0.358,TRUE,3,23,FALSE
