# Experiment File Name : 031221_Bsal_All_Live_D1.eds,,,,,,,,,,,,,,,,,,,,,
# Created By :sarah.mcgrath@ufl.edu,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2021-03-12 02:24:17 PM,,,,,,,,,,,,,,,,,,,,,
# Instrument Type : QuantStudio 3 System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,Bsal1000,ChytrMGB2,1.27,Amp,STANDARD,20.175,20.101,0.105,1000000,-,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,16,FALSE
A2,Bsal1000,ChytrMGB2,1.27,Amp,STANDARD,20.027,20.101,0.105,1000000,-,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,16,FALSE
A3,D1_NA_B1.1,ChytrMGB2,1.274,Amp,UNKNOWN,34.979,34.979,-,15.12602,15.126,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,31,FALSE
A4,D1_NA_FD1.3,ChytrMGB2,1.276,Amp,UNKNOWN,33.788,33.788,-,37.647343,37.647,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,28,FALSE
A5,D1_NA_NG2.2,ChytrMGB2,1.285,Amp,UNKNOWN,29.653,29.653,-,892.2836,892.284,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,25,FALSE
A6,D1_NA_MC1.1,ChytrMGB2,1.281,Amp,UNKNOWN,34.219,34.219,-,27.060154,27.06,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,29,FALSE
A7,D1_NA_DG1.3,ChytrMGB2,1.27,Amp,UNKNOWN,35.928,35.928,-,7.315263,7.315,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,31,FALSE
A8,D1_A_B2.2,ChytrMGB2,1.276,Amp,UNKNOWN,30.328,30.328,-,532.20685,532.207,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,26,FALSE
A9,D1_A_NG1.1,ChytrMGB2,1.27,Amp,UNKNOWN,33.758,33.758,-,38.52387,38.524,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,29,FALSE
A10,D1_A_CD1.3,ChytrMGB2,1.269,Amp,UNKNOWN,34.172,34.172,-,28.049519,28.05,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,30,FALSE
A11,D1_A_MC2.2,ChytrMGB2,1.27,Amp,UNKNOWN,28.919,28.919,-,1565.382,1565.382,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,24,FALSE
B1,Bsal100,ChytrMGB2,1.288,Amp,STANDARD,23.578,23.575,0.003,100000,-,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,19,FALSE
B2,Bsal100,ChytrMGB2,1.285,Amp,STANDARD,23.573,23.575,0.003,100000,-,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,18,FALSE
B3,D1_NA_B1.2,ChytrMGB2,1.283,Amp,UNKNOWN,32.668,32.668,-,88.70263,88.703,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,29,FALSE
B4,D1_NA_FD2.1,ChytrMGB2,1.285,Amp,UNKNOWN,30.736,30.736,-,389.59625,389.596,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,26,FALSE
B5,D1_NA_NG2.3,ChytrMGB2,1.285,Amp,UNKNOWN,30.29,30.29,-,548.1018,548.102,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,26,FALSE
B6,D1_NA_MC1.2,ChytrMGB2,1.285,Amp,UNKNOWN,33.024,33.024,-,67.58344,67.583,-,38.5273,0.9755,-3.0077,115.02055,TRUE,0.12,TRUE,3,28,FALSE
