# Experiment File Name : 040221_Bsal_D14_All_Live.eds,,,,,,,,,,,,,,,,,,,,,
# Created By :sarah.mcgrath@ufl.edu,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2021-04-02 12:26:51 PM,,,,,,,,,,,,,,,,,,,,,
# Instrument Type : QuantStudio 3 System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,Bsal1000,ChytrMGB2,1.172,Amp,STANDARD,20.297,20.293,0.006,1000000,-,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,15,FALSE
A2,Bsal1000,ChytrMGB2,1.186,Amp,STANDARD,20.289,20.293,0.006,1000000,-,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,16,FALSE
A3,D14_NA_B1.1,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,49,FALSE
A4,D14_NA_FD1.3,ChytrMGB2,1.211,Amp,UNKNOWN,35.594,35.594,-,13.91349,13.913,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,31,FALSE
A5,D14_NA_NG2.2,ChytrMGB2,1.219,Amp,UNKNOWN,34.341,34.341,-,35.741535,35.742,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,29,FALSE
A6,D14_NA_MC1.1,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,49,FALSE
A7,D14_NA_DG1.3,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,49,FALSE
A8,D14_A_B2.2,ChytrMGB2,1.224,Amp,UNKNOWN,34.558,34.558,-,30.347279,30.347,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,30,FALSE
A9,D14_A_NG1.1,ChytrMGB2,1.229,Amp,UNKNOWN,33.94,33.94,-,48.350937,48.351,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,30,FALSE
A10,D14_A_CD1.3,ChytrMGB2,1.223,Amp,UNKNOWN,33.801,33.801,-,53.689552,53.69,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,30,FALSE
A11,D14_A_MC2.2,ChytrMGB2,1.226,Amp,UNKNOWN,27.988,27.988,-,4278.8213,4278.821,-,39.0896,0.9693,-3.0573,112.36649,TRUE,0.105,TRUE,3,24,FALSE
