File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type
Bd_D4_A1_dead,0,4,Red,10,A1,B,Broth,Non-autoclaved,10^3
Bd_D4_A1_live,1,4,Green,10,A1,B,Broth,Non-autoclaved,10^3
Bd_D4_A2_dead,0,4,Red,10,A2,B,Broth,Non-autoclaved,10^3
Bd_D4_A2_live,0,4,Green,10,A2,B,Broth,Non-autoclaved,10^3
Bd_D4_A3_dead,0,4,Red,10,A3,B,Broth,Non-autoclaved,10^3
Bd_D4_A3_live,0,4,Green,10,A3,B,Broth,Non-autoclaved,10^3
Bd_D4_A4_dead,4,4,Red,10,A4,B,Broth,Non-autoclaved,10^5
Bd_D4_A4_live,4,4,Green,10,A4,B,Broth,Non-autoclaved,10^5
Bd_D4_A5_dead,7,4,Red,10,A5,B,Broth,Non-autoclaved,10^5
Bd_D4_A5_live,12,4,Green,10,A5,B,Broth,Non-autoclaved,10^5
Bd_D4_A6_dead,16,4,Red,10,A6,B,Broth,Non-autoclaved,10^5
Bd_D4_A6_live,12,4,Green,10,A6,B,Broth,Non-autoclaved,10^5
Bd_D4_A7_dead,0,4,Red,10,A7,B,Broth,Autoclaved,10^3
Bd_D4_A7_live,3,4,Green,10,A7,B,Broth,Autoclaved,10^3
Bd_D4_A8_dead,0,4,Red,10,A8,B,Broth,Autoclaved,10^3
Bd_D4_A8_live,0,4,Green,10,A8,B,Broth,Autoclaved,10^3
Bd_D4_A9_dead,0,4,Red,10,A9,B,Broth,Autoclaved,10^3
Bd_D4_A9_live,0,4,Green,10,A9,B,Broth,Autoclaved,10^3
Bd_D4_A10_dead,16,4,Red,10,A10,B,Broth,Autoclaved,10^5
Bd_D4_A10_live,15,4,Green,10,A10,B,Broth,Autoclaved,10^5
Bd_D4_A11_dead,2,4,Red,10,A11,B,Broth,Autoclaved,10^5
Bd_D4_A11_live,9,4,Green,10,A11,B,Broth,Autoclaved,10^5
Bd_D4_A12_dead,5,4,Red,10,A12,B,Broth,Autoclaved,10^5
Bd_D4_A12_live,19,4,Green,10,A12,B,Broth,Autoclaved,10^5
Bd_D4_B1_dead,0,4,Red,10,B1,FD,Fontana Dam,Non-autoclaved,10^3
Bd_D4_B1_live,333,4,Green,10,B1,FD,Fontana Dam,Non-autoclaved,10^3
Bd_D4_B2_dead,0,4,Red,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bd_D4_B2_live,1274,4,Green,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bd_D4_B3_dead,0,4,Red,10,B3,FD,Fontana Dam,Non-autoclaved,10^3
Bd_D4_B3_live,1401,4,Green,10,B3,FD,Fontana Dam,Non-autoclaved,10^3
Bd_D4_B4_dead,0,4,Red,10,B4,FD,Fontana Dam,Non-autoclaved,10^5
