File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type,
Bd_D7_A1_dead,0,7,red,10,A1,B,Broth,Non-autoclaved,10^3,
Bd_D7_A1_live,0,7,green,10,A1,B,Broth,Non-autoclaved,10^3,
Bd_D7_A2_dead,0,7,red,10,A2,B,Broth,Non-autoclaved,10^3,
Bd_D7_A2_live,0,7,green,10,A2,B,Broth,Non-autoclaved,10^3,
Bd_D7_A3_dead,0,7,red,10,A3,B,Broth,Non-autoclaved,10^3,
Bd_D7_A3_live,440,7,green,10,A3,B,Broth,Non-autoclaved,10^3,
Bd_D7_A4_dead,0,7,red,10,A4,B,Broth,Non-autoclaved,10^5,
Bd_D7_A4_live,0,7,green,10,A4,B,Broth,Non-autoclaved,10^5,
Bd_D7_A5_dead,0,7,red,10,A5,B,Broth,Non-autoclaved,10^5,
Bd_D7_A5_live,472,7,green,10,A5,B,Broth,Non-autoclaved,10^5,used Sarah's count
Bd_D7_A6_dead,8.5,7,red,10,A6,B,Broth,Non-autoclaved,10^5,
Bd_D7_A6_live,423,7,green,10,A6,B,Broth,Non-autoclaved,10^5,used Sarah's count
Bd_D7_A7_dead,2.5,7,red,10,A7,B,Broth,Autoclaved,10^3,
Bd_D7_A7_live,1,7,green,10,A7,B,Broth,Autoclaved,10^3,
Bd_D7_A8_dead,244,7,red,10,A8,B,Broth,Autoclaved,10^3,
Bd_D7_A8_live,950,7,green,10,A8,B,Broth,Autoclaved,10^3,used Sarah's count
Bd_D7_A9_dead,0,7,red,10,A9,B,Broth,Autoclaved,10^3,
Bd_D7_A9_live,0,7,green,10,A9,B,Broth,Autoclaved,10^3,
Bd_D7_A10_dead,13,7,red,10,A10,B,Broth,Autoclaved,10^5,
Bd_D7_A10_live,62,7,green,10,A10,B,Broth,Autoclaved,10^5,
Bd_D7_A11_dead,2,7,red,10,A11,B,Broth,Autoclaved,10^5,used Sarah's count
Bd_D7_A11_live,109,7,green,10,A11,B,Broth,Autoclaved,10^5,used Sarah's count
Bd_D7_A12_dead,15,7,red,10,A12,B,Broth,Autoclaved,10^5,used Sarah's count
Bd_D7_A12_live,144,7,green,10,A12,B,Broth,Autoclaved,10^5,used Sarah's count
Bd_D7_B1_dead,28,7,red,10,B1,FD,Fontana Dam,Non-autoclaved,10^3,used Sarah's count
Bd_D7_B1_live,1510,7,green,10,B1,FD,Fontana Dam,Non-autoclaved,10^3,used Sarah's count
Bd_D7_B2_dead,4.5,7,red,10,B2,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D7_B2_live,1079,7,green,10,B2,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D7_B3_dead,273.5,7,red,10,B3,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D7_B3_live,770,7,green,10,B3,FD,Fontana Dam,Non-autoclaved,10^3,
Bd_D7_B4_dead,25,7,red,10,B4,FD,Fontana Dam,Non-autoclaved,10^5,used Sarah's count
Bd_D7_B4_live,1933,7,green,10,B4,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D7_B5_dead,69,7,red,10,B5,FD,Fontana Dam,Non-autoclaved,10^5,used Sarah's count
Bd_D7_B5_live,1427,7,green,10,B5,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D7_B6_dead,9,7,red,10,B6,FD,Fontana Dam,Non-autoclaved,10^5,used Sarah's count
Bd_D7_B6_live,1985.5,7,green,10,B6,FD,Fontana Dam,Non-autoclaved,10^5,
Bd_D7_B7_dead,12,7,red,10,B7,FD,Fontana Dam,Autoclaved,10^3,used Sarah's count
Bd_D7_B7_live,83,7,green,10,B7,FD,Fontana Dam,Autoclaved,10^3,used Sarah's count
Bd_D7_B8_dead,4,7,red,10,B8,FD,Fontana Dam,Autoclaved,10^3,used Sarah's count
Bd_D7_B8_live,91,7,green,10,B8,FD,Fontana Dam,Autoclaved,10^3,used Sarah's count
Bd_D7_B9_dead,10,7,red,10,B9,FD,Fontana Dam,Autoclaved,10^3,used Sarah's count
Bd_D7_B9_live,24,7,green,10,B9,FD,Fontana Dam,Autoclaved,10^3,used Sarah's count
Bd_D7_B10_dead,3,7,red,10,B10,FD,Fontana Dam,Autoclaved,10^5,
Bd_D7_B10_live,217,7,green,10,B10,FD,Fontana Dam,Autoclaved,10^5,used Sarah's count
Bd_D7_B11_dead,29,7,red,10,B11,FD,Fontana Dam,Autoclaved,10^5,used Sarah's count
Bd_D7_B11_live,162,7,green,10,B11,FD,Fontana Dam,Autoclaved,10^5,used Sarah's count
Bd_D7_B12_dead,14,7,red,10,B12,FD,Fontana Dam,Autoclaved,10^5,used Sarah's count
Bd_D7_B12_live,362,7,green,10,B12,FD,Fontana Dam,Autoclaved,10^5,used Sarah's count
Bd_D7_C1_dead,8,7,red,10,C1,NG,Newfound Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_C1_live,1422,7,green,10,C1,NG,Newfound Gap,Non-autoclaved,10^3,
Bd_D7_C2_dead,27,7,red,10,C2,NG,Newfound Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_C2_live,1601,7,green,10,C2,NG,Newfound Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_C3_dead,29,7,red,10,C3,NG,Newfound Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_C3_live,2029,7,green,10,C3,NG,Newfound Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_C4_dead,24,7,red,10,C4,NG,Newfound Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_C4_live,2232,7,green,10,C4,NG,Newfound Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_C5_dead,29,7,red,10,C5,NG,Newfound Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_C5_live,2114,7,green,10,C5,NG,Newfound Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_C6_dead,13,7,red,10,C6,NG,Newfound Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_C6_live,207,7,green,10,C6,NG,Newfound Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_C7_dead,1,7,red,10,C7,NG,Newfound Gap,Autoclaved,10^3,
Bd_D7_C7_live,68,7,green,10,C7,NG,Newfound Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_C8_dead,4,7,red,10,C8,NG,Newfound Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_C8_live,200,7,green,10,C8,NG,Newfound Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_C9_dead,1,7,red,10,C9,NG,Newfound Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_C9_live,99,7,green,10,C9,NG,Newfound Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_C10_dead,5,7,red,10,C10,NG,Newfound Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_C10_live,46,7,green,10,C10,NG,Newfound Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_C11_dead,6,7,red,10,C11,NG,Newfound Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_C11_live,85,7,green,10,C11,NG,Newfound Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_C12_dead,12,7,red,10,C12,NG,Newfound Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_C12_live,101,7,green,10,C12,NG,Newfound Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_D1_dead,193,7,red,10,D1,CD,Clingman's Dome,Non-autoclaved,10^3,used Sarah's count
Bd_D7_D1_live,1785.5,7,green,10,D1,CD,Clingman's Dome,Non-autoclaved,10^3,
Bd_D7_D2_dead,154,7,red,10,D2,CD,Clingman's Dome,Non-autoclaved,10^3,used Sarah's count
Bd_D7_D2_live,1742,7,green,10,D2,CD,Clingman's Dome,Non-autoclaved,10^3,used Sarah's count
Bd_D7_D3_dead,106,7,red,10,D3,CD,Clingman's Dome,Non-autoclaved,10^3,used Sarah's count
Bd_D7_D3_live,1555,7,green,10,D3,CD,Clingman's Dome,Non-autoclaved,10^3,used Sarah's count
Bd_D7_D4_dead,330.5,7,red,10,D4,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D7_D4_live,1024,7,green,10,D4,CD,Clingman's Dome,Non-autoclaved,10^5,used Sarah's count
Bd_D7_D5_dead,102,7,red,10,D5,CD,Clingman's Dome,Non-autoclaved,10^5,used Sarah's count
Bd_D7_D5_live,1536,7,green,10,D5,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D7_D6_dead,90,7,red,10,D6,CD,Clingman's Dome,Non-autoclaved,10^5,used Sarah's count
Bd_D7_D6_live,1481.5,7,green,10,D6,CD,Clingman's Dome,Non-autoclaved,10^5,
Bd_D7_D7_dead,100,7,red,10,D7,CD,Clingman's Dome,Autoclaved,10^3,used Sarah's count
Bd_D7_D7_live,1144.5,7,green,10,D7,CD,Clingman's Dome,Autoclaved,10^3,
Bd_D7_D8_dead,55,7,red,10,D8,CD,Clingman's Dome,Autoclaved,10^3,used Sarah's count
Bd_D7_D8_live,157,7,green,10,D8,CD,Clingman's Dome,Autoclaved,10^3,used Sarah's count
Bd_D7_D9_dead,52,7,red,10,D9,CD,Clingman's Dome,Autoclaved,10^3,used Sarah's count
