File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type
Bsal_D4_A1_dead,12.5,4,Red,10,A1,B,Broth,Non-autoclaved,10^3
Bsal_D4_A1_live,117.5,4,Green,10,A1,B,Broth,Non-autoclaved,10^3
Bsal_D4_A2_dead,17.5,4,Red,10,A2,B,Broth,Non-autoclaved,10^3
Bsal_D4_A2_live,433,4,Green,10,A2,B,Broth,Non-autoclaved,10^3
Bsal_D4_A3_dead,33,4,Red,10,A3,B,Broth,Non-autoclaved,10^3
Bsal_D4_A3_live,349,4,Green,10,A3,B,Broth,Non-autoclaved,10^3
Bsal_D4_A4_dead,281,4,Red,10,A4,B,Broth,Non-autoclaved,10^4
Bsal_D4_A4_live,935,4,Green,10,A4,B,Broth,Non-autoclaved,10^4
Bsal_D4_A5_dead,211,4,Red,10,A5,B,Broth,Non-autoclaved,10^4
Bsal_D4_A5_live,655,4,Green,10,A5,B,Broth,Non-autoclaved,10^4
Bsal_D4_A6_dead,175,4,Red,10,A6,B,Broth,Non-autoclaved,10^4
Bsal_D4_A6_live,1379.5,4,Green,10,A6,B,Broth,Non-autoclaved,10^4
Bsal_D4_A7_dead,10,4,Red,10,A7,B,Broth,Autoclaved,10^3
Bsal_D4_A7_live,236.5,4,Green,10,A7,B,Broth,Autoclaved,10^3
Bsal_D4_A8_dead,41,4,Red,10,A8,B,Broth,Autoclaved,10^3
Bsal_D4_A8_live,638,4,Green,10,A8,B,Broth,Autoclaved,10^3
Bsal_D4_A9_dead,9,4,Red,10,A9,B,Broth,Autoclaved,10^3
Bsal_D4_A9_live,668,4,Green,10,A9,B,Broth,Autoclaved,10^3
Bsal_D4_A10_dead,42,4,Red,10,A10,B,Broth,Autoclaved,10^4
Bsal_D4_A10_live,575,4,Green,10,A10,B,Broth,Autoclaved,10^4
Bsal_D4_A11_dead,38,4,Red,10,A11,B,Broth,Autoclaved,10^4
Bsal_D4_A11_live,327,4,Green,10,A11,B,Broth,Autoclaved,10^4
