SampleID,Sample_Name,Day,Pathogen_type,Site,Soil_treatment,,Sample_or_control
demultiplex.bc1005--bc1033.hifi_reads.fastq,FD_non-inoc,0,NA,Fontana_Dam,Non_inoc,,True_sample
demultiplex.bc1005--bc1035.hifi_reads.fastq,NG_non-inoc,0,NA,Newfound_Gap,Non_inoc,,True_sample
demultiplex.bc1005--bc1044.hifi_reads.fastq,CD_non-inoc,0,NA,Clingmans_Dome,Non_inoc,,True_sample
demultiplex.bc1005--bc1045.hifi_reads.fastq,MC_non-inoc,0,NA,Mount_Cammerer,Non_inoc,,True_sample
demultiplex.bc1005--bc1054.hifi_reads.fastq,DG_non-inoc,0,NA,Davenport_Gap,Non_inoc,,True_sample
demultiplex.bc1005--bc1056.hifi_reads.fastq,Bd_D1_NA_FD1.1,1,Bd,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1057.hifi_reads.fastq,Bsal_D1_NA_FD1.1,1,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1060.hifi_reads.fastq,Bd_D1_NA_FD1.2,1,Bd,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1062.hifi_reads.fastq,Bd_D1_NA_MC1.1,1,Bd,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1065.hifi_reads.fastq,Bd_D14_NA_FD1.3,14,Bd,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1075.hifi_reads.fastq,Bd_D14_NA_MC1.2,14,Bd,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1076.hifi_reads.fastq,Bsal_D1_NA_NG1.2,1,Bsal,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1082.hifi_reads.fastq,Bsal_D1_NA_DG1.1,1,Bsal,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1083.hifi_reads.fastq,Bsal_D7_NA_NG1.3,7,Bsal,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1089.hifi_reads.fastq,Bsal_D7_NA_DG1.2,7,Bsal,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1096.hifi_reads.fastq,Bsal_D14_NA_CD1.1,14,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1098.hifi_reads.fastq,Bsal_D14_NA_DG1.3,14,Bsal,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1005--bc1101.hifi_reads.fastq,Bsal_D14_BNA_1.3,14,Bsal,Broth,NA,,Control
demultiplex.bc1005--bc1105.hifi_reads.fastq,Bd_D14_DGA_1.1,14,Bd,Davenport_Gap,Autoclaved,,Control
demultiplex.bc1005--bc1107.hifi_reads.fastq,DNA_Extract_water_ctrl,0,NA,Water_control,NA,,Control
demultiplex.bc1007--bc1044.hifi_reads.fastq,Bsal_D14_CDA_1.3,14,Bsal,Clingmans_Dome,Autoclaved,,Control
demultiplex.bc1007--bc1060.hifi_reads.fastq,Bd_D1_NA_FD1.3,1,Bd,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1062.hifi_reads.fastq,Bd_D1_NA_MC1.2,1,Bd,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1065.hifi_reads.fastq,Bd_D14_NA_NG1.1,14,Bd,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1075.hifi_reads.fastq,Bd_D14_NA_MC1.3,14,Bd,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1076.hifi_reads.fastq,Bsal_D1_NA_NG1.3,1,Bsal,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1082.hifi_reads.fastq,Bsal_D1_NA_DG1.2,1,Bsal,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1083.hifi_reads.fastq,Bsal_D7_NA_CD1.1,7,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1089.hifi_reads.fastq,Bsal_D7_NA_DG1.3,7,Bsal,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1096.hifi_reads.fastq,Bsal_D14_NA_CD1.2,14,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1007--bc1101.hifi_reads.fastq,Bsal_D14_BA_1.1,14,Bsal,Broth,NA,,Control
demultiplex.bc1007--bc1107.hifi_reads.fastq,PCR_water_ctrl,0,NA,Water_control,NA,,Control
demultiplex.bc1008--bc1035.hifi_reads.fastq,Bd_D14_DGA1.3,14,Bd,Davenport_Gap,Autoclaved,,Control
demultiplex.bc1008--bc1044.hifi_reads.fastq,Bsal_D14_MCA 1.2,14,Bsal,Mount_Cammerer,Autoclaved,,Control
demultiplex.bc1008--bc1060.hifi_reads.fastq,Bd_D1_NA_NG1.1,1,Bd,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1062.hifi_reads.fastq,Bd_D1_NA_MC1.3,1,Bd,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1065.hifi_reads.fastq,Bd_D14_NA_NG1.2,14,Bd,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1075.hifi_reads.fastq,Bd_D14_NA_DG1.1,14,Bd,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1076.hifi_reads.fastq,Bsal_D1_NA_CD1.1,1,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1082.hifi_reads.fastq,Bsal_D1_NA_DG1.3,1,Bsal,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1083.hifi_reads.fastq,Bsal_D7_NA_CD1.2,7,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1089.hifi_reads.fastq,Bsal_D14_NA_FD1.1,14,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1096.hifi_reads.fastq,Bsal_D14_NA_CD1.3,14,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1008--bc1100.hifi_reads.fastq,Bd_D14_BNA_1.3,14,Bd,Broth,NA,,Control
demultiplex.bc1008--bc1101.hifi_reads.fastq,Bsal_D14_A_B1,14,Bsal,Broth,NA,,Control
demultiplex.bc1008--bc1105.hifi_reads.fastq,Bsal_D14_FDA_1.1,14,Bsal,Fontana_Dam,Autoclaved,,Control
demultiplex.bc1012--bc1035.hifi_reads.fastq,Bsal_D14_FDA 1.2,14,Bsal,Fontana_Dam,Autoclaved,,Control
